metabolite (ΔmM),0 min,50 min,100 min,150 min,200 min
"6-phospho-D-glucono-1,5-lactone",0.0,0.0,0.0,0.0,0.0
D-Fructose 6-phosphate,0.0,58.364847842886434,58.364847842886434,58.364847842886434,58.364847842886434
Ammonium,0.0,0.0,0.0,0.0,0.0
Nicotinamide adenine dinucleotide,0.0,-9.094947017729282e-13,-9.094947017729282e-13,-9.094947017729282e-13,-9.094947017729282e-13
D-Glucose 6-phosphate,0.0,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13
O2 O2,0.0,0.0,0.0,0.0,0.0
Phosphate,5.125,0.0,0.0,0.0,0.0
L-Glutamine,0.0,0.0,0.0,0.0,0.0
Formate,0.0,0.0,0.0,0.0,0.0
2-Oxoglutarate,0.0,0.0,0.0,0.0,0.0
Cis-Aconitate,0.0,0.0,0.0,0.0,0.0
Acetate,176.0,0.0,0.0,0.0,0.0
D-Erythrose 4-phosphate,0.0,-58.364847842886604,-58.364847842886604,-58.364847842886604,-58.364847842886604
Oxaloacetate,0.0,-5.684341886080801e-13,-5.684341886080801e-13,-5.684341886080801e-13,-5.684341886080801e-13
Citrate,0.0,0.0,0.0,0.0,0.0
AMP C10H12N5O7P,0.0,0.0,0.0,0.0,0.0
Succinyl-CoA,0.0,0.0,0.0,0.0,0.0
H2O H2O,0.0,0.0,0.0,0.0,0.0
CO2 CO2,0.0,0.0,0.0,0.0,0.0
Ubiquinone-8,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13
Sedoheptulose 7-phosphate,0.0,0.0,0.0,0.0,0.0
ADP C10H12N5O10P2,0.0,-1.1830536550405668e-11,-1.1830536550405668e-11,-1.1830536550405668e-11,-1.1830536550405668e-11
H+,0.0,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12
Pyruvate,0.0,0.0,0.0,0.0,0.0
Dihydroxyacetone phosphate,0.0,0.0,0.0,0.0,0.0
Acetyl-CoA,0.0,6.821210263296962e-13,6.821210263296962e-13,6.821210263296962e-13,6.821210263296962e-13
D-Fructose,0.0,0.0,0.0,0.0,0.0
Phosphoenolpyruvate,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13
D-Glycerate 2-phosphate,0.0,0.0,0.0,0.0,0.0
Ubiquinol-8,0.0,-9.094947017729282e-13,-9.094947017729282e-13,-9.094947017729282e-13,-9.094947017729282e-13
Acetyl phosphate,0.0,0.0,0.0,0.0,0.0
"D-Fructose 1,6-bisphosphate",0.0,0.0,0.0,0.0,0.0
3-Phospho-D-glycerate,0.0,2.5579538487363607e-13,2.5579538487363607e-13,2.5579538487363607e-13,2.5579538487363607e-13
D-Ribulose 5-phosphate,0.0,-1.1368683772161603e-13,-1.1368683772161603e-13,-1.1368683772161603e-13,-1.1368683772161603e-13
Nicotinamide adenine dinucleotide phosphate - reduced,0.0,-6.821210263296962e-13,-6.821210263296962e-13,-6.821210263296962e-13,-6.821210263296962e-13
Nicotinamide adenine dinucleotide phosphate,0.0,6.821210263296962e-13,6.821210263296962e-13,6.821210263296962e-13,6.821210263296962e-13
Glyceraldehyde 3-phosphate,0.0,58.36484784288632,58.36484784288632,58.36484784288632,58.36484784288632
L-Malate,50.0,0.0,0.0,0.0,0.0
Acetaldehyde,0.0,0.0,0.0,0.0,0.0
Nicotinamide adenine dinucleotide - reduced,0.0,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13,9.094947017729282e-13
Isocitrate,0.0,0.0,0.0,0.0,0.0
Glyoxylate,0.0,0.0,0.0,0.0,0.0
6-Phospho-D-gluconate,0.0,0.0,0.0,0.0,0.0
Coenzyme A,0.0,-6.821210263296962e-13,-6.821210263296962e-13,-6.821210263296962e-13,-6.821210263296962e-13
D-Glucose,0.0,0.0,0.0,0.0,0.0
Alpha-D-Ribose 5-phosphate,0.0,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14
D-Lactate,0.0,0.0,0.0,0.0,0.0
Ethanol,0.0,0.0,0.0,0.0,0.0
L-Glutamate,0.0,0.0,0.0,0.0,0.0
Fumarate,0.0,0.0,0.0,0.0,0.0
D-Xylulose 5-phosphate,0.0,-58.36484784288649,-58.36484784288649,-58.36484784288649,-58.36484784288649
ATP C10H12N5O13P3,0.0,1.1830536550405668e-11,1.1830536550405668e-11,1.1830536550405668e-11,1.1830536550405668e-11
Succinate,0.0,0.0,0.0,0.0,0.0
3-Phospho-D-glyceroyl phosphate,0.0,0.0,0.0,0.0,0.0
